slide_number,title,ost
8,Load Board and PIB,Load Board and PIB The interface between the tester and the DUT is through Printed Circuit Boards:-  1. Load Board or DIB DIB stands for Devices Interface Board Interface for Packaged Parts Sits between Tester and Handler 2. Prober Interface Board or Probe Card Interface for Wafers Sits between Tester an Prober
13,Digital Pins,Digital Pins Digital pins have finite sets of values –  Commonly 2 types of values . Logic High or Logic Low. Provides Digital control and response – As input to the IC and output response from the IC Digital pins can be single – ended or differential 2 wires carrying complementary statesHow fast digital data transfer in or out of an IC is referred to as the frequency. Frequency of digital signal vary by the IC and its end application . From 1 MHz or below to greater that 12 GHz
16,What is Scan Test,"What is Scan Test Scan uses interconnected flips-flops, called Scan flip-flops. Scan flip-flops add the following connection to a basic flip-flop –Scan Enable Scan Data In Scan Data Out Scan Procedure – Data on the Scan Input is shifted into the scan flip-flop when scan enable is set. Data is clocked into the combinational logic. The output of the combination logic is captured on the scan flip-flop and shifted out on the scan output when scan enable is set."
11,Testing Approach,"Testing Approach ICs are tested for : Validating and Debugging IC Design Characterizing IC PerformanceProduction Testing of ICs Tester provides input to the DUT and compares its responseThe stimulus and measurement are conveyed through DUT pins – Output , input or bi-directional IO’s pins that can receive input stimulus as well as provides an output response "
12,Common type of test,Common type of test DC parametric testsDigital tests Structural – Scan / Design for test Functional test – verify device truth table functionality Memory test – verify device memoryAnalog test Mixed – signal test – tests include both digital and analog. RF test
3,Semiconductor Manufacturers,"Semiconductor Manufacturers Manufacturers of integrated Circuits requires multiple steps in a tightly controlled environment. 1. Integrated device Manufacturers are companies that design , manufacture , and sell ICs IDM : Intel , TI , Samsung , Microchip ,etc. 2. Some companies just design IC’s only called Fabless. Fabless : Qualcomm , Mediatek , etc. 3. Fabless outsource Fabrication , Packaging & Testing steps to Subcontractor vendors called Subcons or OSATsSubcon/OSATs : ASE , KYEC , Amkor , etc. (OSAT stand for Outsource Assembly and Test"
7,Test Cell,Test Cell
5,Why is IC Testing Needed,Why is IC Testing Needed Faults in manufacturing of wafers and packaging of die are common Process Issues Dielectric Issues Infant Mortality Issues Static electricity Contamination Resistive and inductive bridges in the silicon wafers and package during die bonding to package leads.
4,What is ATE,What is ATE ATE stands for Automatic Test EquipmentATE incudes the tester as well as the production handling equipment such as probers and handlers – commonly known as the Test Cell. ATE is a subset of the Semiconductor industry. ATE is used for Testing ICs before and after packaging. Sort BAD and GOOD devices. Validate and Debug IC design in Lab. Characteristics IC Performance in Lab. Production test or volume test of ICs. 
0,,
